id,title,date,reference_number,department_code,pdf_url,local_filename
13664,"Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1988 (2011) Taliban Sanctions List: Amendment of 05 Entries:","July 31, 2026","RBI/2026-27/222 DOR.AML.REC.192/14.06.001/2026-27 July 31, 2026 The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks,",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT222A6F1CE99F47E4043B7DBFE7B11B96548.PDF,July-31-2026_implementation-of-section-51a-of-uapa-1967-updates-to-unscs-.pdf
13663,Consolidation of Supervisory Instructions – Repeal of Circulars,"July 31, 2026","RBI/DoS/2026-27/221 DoS.CO.PPG.66/11.01.005/2026-27 July 31, 2026 Consolidation of Supervisory Instructions – Repeal of Circulars Please refer to the press release issued on July 31, 2026 announcing t",DOS,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT221FE0A4B324CB7415EAFFA02710AC67A48.PDF,July-31-2026_consolidation-of-supervisory-instructions-repeal-of-circular.pdf
13662,"Fake Indian Currency Notes (FICNs)-Detection, Reporting and Monitoring","July 31, 2026","RBI/2026-27/220 DCM (FNVD) No.S1335/16.01.05/2026-27 July 31, 2026 The Chairman/ Managing Director/ Chief Executive Officer All Banks Madam/ Dear Sir, Fake Indian Currency Notes (FICNs)-Detection, Rep",DCM,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT22031600C31BC5F403AA3CD3FF99E8410E4.PDF,July-31-2026_fake-indian-currency-notes-ficns-detection-reporting-and-mon.pdf
13661,"Reserve Bank of India (Urban Co-operative Banks – Interest Rate on Deposits) Second Amendment Directions, 2026","July 30, 2026","RBI/2026-27/219 DOR.SOG(SPE).REC.181/13.03.00/2026-27 July 30, 2026 Reserve Bank of India (Urban Co-operative Banks – Interest Rate on Deposits) Second Amendment Directions, 2026 Please refer to the R",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT21905948F408D284D128AA9853033D2298F.PDF,July-30-2026_reserve-bank-of-india-urban-co-operative-banks-interest-rate.pdf
13660,"Reserve Bank of India (Local Area Banks – Interest Rate on Deposits) Second Amendment Directions, 2026","July 30, 2026","RBI/2026-27/218 DOR.SOG(SPE).REC.177/13.03.00/2026-27 July 30, 2026 Reserve Bank of India (Local Area Banks – Interest Rate on Deposits) Second Amendment Directions, 2026 Please refer to the Reserve B",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT2184F10BEFE10E747ECB300CA3A9C53050D.PDF,July-30-2026_reserve-bank-of-india-local-area-banks-interest-rate-on-depo.pdf
13659,"Reserve Bank of India (Payments Banks – Interest Rate on Deposits) Amendment Directions, 2026","July 30, 2026","RBI/2026-27/217 DOR.SOG(SPE).REC.179/13.03.00/2026-27 July 30, 2026 Reserve Bank of India (Payments Banks – Interest Rate on Deposits) Amendment Directions, 2026 Please refer to the Reserve Bank of In",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT2177579A8428814410087D1D9930631D732.PDF,July-30-2026_reserve-bank-of-india-payments-banks-interest-rate-on-deposi.pdf
13658,"Reserve Bank of India (Regional Rural Banks – Interest Rate on Deposits) Second Amendment Directions, 2026","July 30, 2026","RBI/2026-27/216 DOR.SOG(SPE).REC.180/13.03.00/2026-27 July 30, 2026 Reserve Bank of India (Regional Rural Banks – Interest Rate on Deposits) Second Amendment Directions, 2026 Please refer to the Reser",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT216F2E56A6B19F14E11AB9126CBC94C1D8A.PDF,July-30-2026_reserve-bank-of-india-regional-rural-banks-interest-rate-on-.pdf
13657,"Reserve Bank of India (Small Finance Banks – Interest Rate on Deposits) Second Amendment Directions, 2026","July 30, 2026","RBI/2026-27/215 DOR.SOG(SPE).REC.178/13.03.00/2026-27 July 30, 2026 Reserve Bank of India (Small Finance Banks – Interest Rate on Deposits) Second Amendment Directions, 2026 Please refer to the Reserv",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT2153539C98C29F4493D8F5993437D46E192.PDF,July-30-2026_reserve-bank-of-india-small-finance-banks-interest-rate-on-d.pdf
13656,"Reserve Bank of India (Commercial Banks – Interest Rate on Deposits) Second Amendment Directions, 2026","July 30, 2026","RBI/2026-27/214 DOR.SOG(SPE).REC.176/13.03.00/2026-27 July 30, 2026 Reserve Bank of India (Commercial Banks – Interest Rate on Deposits) Second Amendment Directions, 2026 Please refer to the Reserve B",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT214007577711839463B9DF08E80F7DBCB6F.PDF,July-30-2026_reserve-bank-of-india-commercial-banks-interest-rate-on-depo.pdf
13655,"Reserve Bank of India (Small Finance Banks – Financial Statements: Presentation and Disclosures) Fourth Amendment Directions, 2026","July 30, 2026","RBI/DOR/2026-27/213 DOR.ACC.REC.No.190/21.04.018/2026-27 July 30, 2026 Reserve Bank of India (Small Finance Banks – Financial Statements: Presentation and Disclosures) Fourth Amendment Directions, 202",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT2135B94D09619AB4E57A4EC564FA03B610E.PDF,July-30-2026_reserve-bank-of-india-small-finance-banks-financial-statemen.pdf
13654,"Reserve Bank of India (Small Finance Banks – Governance) Third Amendment Directions, 2026","July 30, 2026","RBI/DOR/2026-27/212 DOR.ACC.REC.No.189/29.67.001/2026-27 July 30, 2026 Reserve Bank of India (Small Finance Banks – Governance) Third Amendment Directions, 2026 Please refer to the Reserve Bank of Ind",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT212F2A934710D6A4CDC9E71067C94DC170F.PDF,July-30-2026_reserve-bank-of-india-small-finance-banks-governance-third-a.pdf
13653,"Reserve Bank of India (Small Finance Banks – Asset Liability Management) Amendment Directions, 2026","July 30, 2026","RBI/DOR/2026-27/211 DOR.ACC.REC.No.188/13-10-002/2026-27 July 30, 2026 Reserve Bank of India (Small Finance Banks – Asset Liability Management) Amendment Directions, 2026 Please refer to the Reserve B",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT2119F4396DD846F40AD93EC8730D34E1DB7.PDF,July-30-2026_reserve-bank-of-india-small-finance-banks-asset-liability-ma.pdf
13652,"Reserve Bank of India (Small Finance Banks – Prudential Norms on Capital Adequacy) Fifth Amendment Directions, 2026","July 30, 2026","RBI/2026-27/210 DOR.ACC.REC.No.191/21-01-002/2026-27 July 30, 2026 Reserve Bank of India (Small Finance Banks – Prudential Norms on Capital Adequacy) Fifth Amendment Directions, 2026 Please refer to ‘",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT2108270FCCB27CD41269C97AB89050D0582.PDF,July-30-2026_reserve-bank-of-india-small-finance-banks-prudential-norms-o.pdf
13651,"Reserve Bank of India (Payments Banks – Financial Statements: Presentation and Disclosures) Second Amendment Directions, 2026","July 30, 2026","RBI/DOR/2026-27/209 DOR.ACC.REC.No.187/21.04.018/2026-27 July 30, 2026 Reserve Bank of India (Payments Banks – Financial Statements: Presentation and Disclosures) Second Amendment Directions, 2026 Ple",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT209501B8A8B556F4EE89F16F2F264541B63.PDF,July-30-2026_reserve-bank-of-india-payments-banks-financial-statements-pr.pdf
13650,"Reserve Bank of India (Payments Banks – Governance) Third Amendment Directions, 2026","July 30, 2026","RBI/DOR/2026-27/208 DOR.ACC.REC.No.186/29.67.001/2026-27 July 30, 2026 Reserve Bank of India (Payments Banks – Governance) Third Amendment Directions, 2026 Please refer to the Reserve Bank of India (P",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT208FE629C7305784109BDA42B6A7F68C3A9.PDF,July-30-2026_reserve-bank-of-india-payments-banks-governance-third-amendm.pdf
13649,"Reserve Bank of India (Commercial Banks – Financial Statements: Presentation and Disclosures) Eighth Amendment Directions, 2026","July 30, 2026","RBI/DOR/2026-27/207 DOR.ACC.REC.No.184/21.04.018/2026-27 July 30, 2026 Reserve Bank of India (Commercial Banks – Financial Statements: Presentation and Disclosures) Eighth Amendment Directions, 2026 P",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT2071F359D24074A4BAFB39B3ECF2E2E8B8F.PDF,July-30-2026_reserve-bank-of-india-commercial-banks-financial-statements-.pdf
13648,"Reserve Bank of India (Commercial Banks – Governance) Third Amendment Directions, 2026","July 30, 2026","RBI/DOR/2026-27/206 DOR.ACC.REC.No.183/29.67.001/2026-27 July 30, 2026 Reserve Bank of India (Commercial Banks – Governance) Third Amendment Directions, 2026 Please refer to the Reserve Bank of India",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT206EDD247C9421440388A3EAF0677317C85.PDF,July-30-2026_reserve-bank-of-india-commercial-banks-governance-third-amen.pdf
13647,"Reserve Bank of India (Commercial Banks – Asset Liability Management) Second Amendment Directions, 2026","July 30, 2026","RBI/DOR/2026-27/205 DOR.ACC.REC.No.182/13-10-001/2026-27 July 30, 2026 Reserve Bank of India (Commercial Banks – Asset Liability Management) Second Amendment Directions, 2026 Please refer to the Reser",DOR,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT205D4E4EF0D80D447CFBFF57992629DC375.PDF,July-30-2026_reserve-bank-of-india-commercial-banks-asset-liability-manag.pdf
